"","X","Longitude","Latitude","state","MinKm","soil_i_or_is"
"1",2878,-80.4081153869629,25.4180812835693,"Florida",315.284630386996,"135-136-137"
"2",2879,-80.9051513671875,25.4180812835693,"Florida",297.595250505842,"135-136-137"
"3",3110,-80.4659128189087,25.8694267272949,"Florida",267.964157455497,"135-136-137"
"4",3111,-80.9648132324219,25.8694267272949,"Florida",248.077695504585,"135-136-137"
"5",3112,-81.4637136459351,25.8694267272949,"Florida",237.042846635051,"135-136-137"
"6",3144,-97.4285268783569,25.8694267272949,"Texas",390.065558328408,"175"
"7",3341,-80.5237102508545,26.3207054138184,"Florida",221.999349348938,"135-136-137"
"8",3342,-81.0244750976562,26.3207054138184,"Florida",199.000529821601,"135-136-137"
"9",3343,-81.525239944458,26.3207054138184,"Florida",186.66850655051,"135-136-137"
"10",3375,-97.5497150421143,26.3207054138184,"Texas",342.128006394744,"175"
"11",3376,-98.050479888916,26.3207054138184,"Texas",314.914338816915,"175"
"12",3377,-98.5512447357178,26.3207054138184,"Texas",293.565559513937,"175"
"13",3570,-80.0821685791016,26.7719841003418,"Florida",213.950700837026,"135-136-137"
"14",3571,-80.5849075317383,26.7719841003418,"Florida",178.210780342969,"135-136-137"
"15",3572,-81.087646484375,26.7719841003418,"Florida",150.627833955625,"135-136-137"
"16",3573,-81.5903854370117,26.7719841003418,"Florida",136.249904740266,"135-136-137"
"17",3605,-97.6780319213867,26.7719841003418,"Texas",294.962673247208,"175"
"18",3606,-98.1807708740234,26.7719841003418,"Texas",265.304554768818,"175"
"19",3607,-98.6835098266602,26.7719841003418,"Texas",242.237898029742,"175"
"20",3608,-99.1862487792969,26.7719841003418,"Texas",227.7745637948,"175"
"21",3800,-80.6461048126221,27.2232627868652,"Florida",138.988904971802,"135-136-137"
"22",3801,-81.1508178710938,27.2232627868652,"Florida",104.212758763155,"135-136-137"
"23",3802,-81.6555309295654,27.2232627868652,"Florida",85.8321602552677,"135-136-137"
"24",3803,-82.1602439880371,27.2232627868652,"Florida",94.0135939995026,"135-136-137"
"25",3834,-97.8063488006592,27.2232627868652,"Texas",249.621615422431,"175"
"26",3835,-98.3110618591309,27.2232627868652,"Texas",216.701314400631,"175"
"27",3836,-98.8157749176025,27.2232627868652,"Texas",191.143152530707,"175"
"28",3837,-99.3204879760742,27.2232627868652,"Texas",176.181340073129,"175"
"29",4028,-80.7107019424438,27.6744747161865,"Florida",109.049225025208,"135-136-137"
"30",4029,-81.2174987792969,27.6744747161865,"Florida",63.8713302957837,"135-136-137"
"31",4030,-81.7242956161499,27.6744747161865,"Florida",35.3903497660498,"135-136-137"
"32",4031,-82.2310924530029,27.6744747161865,"Florida",58.40010074756,"135-136-137"
"33",4061,-97.4349975585938,27.6744747161865,"Texas",248.413162623946,"175"
"34",4062,-97.9417943954468,27.6744747161865,"Texas",206.74254094016,"175"
"35",4063,-98.4485912322998,27.6744747161865,"Texas",169.480668543812,"175"
"36",4064,-98.9553880691528,27.6744747161865,"Texas",140.189162260405,"175"
"37",4065,-99.4621849060059,27.6744747161865,"Texas",124.621626095253,"175"
"38",4255,-80.7752990722656,28.1256866455078,"Florida",97.7590949432124,"135-136-137"
"39",4256,-81.2841796875,28.1256866455078,"Florida",48.8943613392697,"135-136-137"
"40",4257,-81.7930603027344,28.1256866455078,"Florida",15.1610123139616,"135-136-137"
"41",4258,-82.3019409179688,28.1256866455078,"Florida",55.4479172732804,"135-136-137"
"42",4259,-82.8108215332031,28.1256866455078,"Florida",104.520115895738,"135-136-137"
"43",4288,-97.568359375,28.1256866455078,"Texas",214.977314177224,"175"
"44",4289,-98.0772399902344,28.1256866455078,"Texas",169.003809474823,"175"
"45",4290,-98.5861206054688,28.1256866455078,"Texas",126.004597468566,"175"
"46",4291,-99.0950012207031,28.1256866455078,"Texas",90.3331930839737,"175"
"47",4292,-99.6038818359375,28.1256866455078,"Texas",73.56090962686,"175"
"48",4481,-80.8432960510254,28.576831817627,"Florida",77.7913707792235,"134"
"49",4482,-81.3543701171875,28.576831817627,"Florida",41.3795540685342,"134"
"50",4483,-81.8654441833496,28.576831817627,"Florida",48.5506757484773,"134"
"51",4484,-82.3765182495117,28.576831817627,"Florida",88.731166548073,"135-136-137"
"52",4511,-96.1755180358887,28.576831817627,"Texas",294.984315108548,"172"
"53",4512,-96.6865921020508,28.576831817627,"Texas",279.713936179417,"172"
"54",4513,-97.1976661682129,28.576831817627,"Texas",238.976702498535,"175"
"55",4514,-97.708740234375,28.576831817627,"Texas",189.335312839976,"175"
"56",4515,-98.2198143005371,28.576831817627,"Texas",139.911185460145,"175"
"57",4516,-98.7308883666992,28.576831817627,"Texas",91.0604199922669,"175"
"58",4517,-99.2419624328613,28.576831817627,"Texas",44.7062450934946,"175"
"59",4518,-99.7530364990234,28.576831817627,"Texas",26.366644821974,"175"
"60",4519,-100.264110565186,28.576831817627,"Texas",66.1942505586358,"175"
"61",4707,-80.9112930297852,29.0279769897461,"Florida",63.0001978102142,"134"
"62",4708,-81.424560546875,29.0279769897461,"Florida",17.4275588865861,"134"
"63",4709,-81.9378280639648,29.0279769897461,"Florida",40.5437264411247,"134"
